BOOT_BUTTON,24.00,108.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,148.17,5.58,90.00,100nF,EAGLE-LTSPICE_C0402
C10,67.64,108.40,270.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,90.22,52.67,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,117.33,46.80,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,118.24,33.08,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,130.08,36.08,270.00,4.7uF,EAGLE-LTSPICE_C0402
C2,147.03,5.58,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,128.94,48.66,90.00,4.7uF,EAGLE-LTSPICE_C0402
C3,127.01,35.17,270.00,"100uF TANT",RCL_CT3528
C4,96.35,32.40,90.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,149.57,44.58,180.00,100nF,EAGLE-LTSPICE_C0402
C5,52.54,108.40,270.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,149.57,43.08,180.00,4.7uF,EAGLE-LTSPICE_C0402
C6,27.50,108.40,270.00,100nF,EAGLE-LTSPICE_C0402
C7,82.15,25.40,0.00,10uF,EAGLE-LTSPICE_C0402
C8,87.61,52.37,90.00,100nF,EAGLE-LTSPICE_C0402
C9,8.70,100.83,90.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64.00,108.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,121.11,47.01,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,53.34,102.87,90.00,100nF,EAGLE-LTSPICE_C0402
D1,148.98,47.40,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,42.58,34.18,270.00,PGB1010603MR,DIOC1608X36N
D11,40.19,34.18,270.00,PGB1010603MR,DIOC1608X36N
D12,37.07,34.18,270.00,PGB1010603MR,DIOC1608X36N
D2,118.11,36.30,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,82.98,35.11,180.00,MBR0530,SOD3716X135N
D4,92.54,27.32,0.00,MBR0530,SOD3716X135N
D5,92.54,31.13,180.00,MBR0530,SOD3716X135N
D6,76.17,22.48,180.00,PGB1010603MR,DIOC1608X36N
D7,83.20,65.30,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,14.05,98.68,0.00,PGB1010603MR,DIOC1608X36N
D9,35.70,49.18,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,72.50,19.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
